N,Site Number,Site Location,Cluster Name,Site Acronym,Date,Month,Sample type,TN,TDN,TP,DP,NO3-N,NH4-N ppm,DON,nutrients comments,Year,5-year,Season
657,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,7/11/2001,7/1/2001,,0.186,0.179,12.6,12,,,,,2001,2001-05,Summer
658,R11,CAP Canal at Cross-connect,cap,cap @ x con,7/11/2001,7/1/2001,,0.293,0.282,0.4,0,,,,,2001,2001-05,Summer
659,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,7/11/2001,7/1/2001,,0.353,0.141,9.2,7.7,,,,,2001,2001-05,Summer
660,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,7/11/2001,7/1/2001,,0.356,0.168,10.4,7.7,,,,,2001,2001-05,Summer
661,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,7/12/2001,7/1/2001,,0.248,0.201,16.7,3.6,,,,,2001,2001-05,Summer
662,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,7/12/2001,7/1/2001,,,,,,,,,,2001,2001-05,Summer
663,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,7/12/2001,7/1/2001,,0.668,0.56,5.7,49.7,,,,,2001,2001-05,Summer
664,R17,Deer Valley WTP treated water,srp,deer valley-treated,7/12/2001,7/1/2001,,,,,,,,,,2001,2001-05,Summer
665,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,7/12/2001,7/1/2001,,0.255,0.156,5,2.4,,,,,2001,2001-05,Summer
666,R19,Val Vista WTP treated water,srp,val vista-treated,7/12/2001,7/1/2001,,,,,,,,,,2001,2001-05,Summer
667,field_blank,field blank,,field,,7/1/2001,,,,,,,,,,2001,2001-05,Summer
668,lab_blank,laboratory blank,,lab,,7/1/2001,,,,,,,,,,2001,2001-05,Summer
669,R20,Verde River at Tangle,verde,verde abv horseshoe,7/25/2001,7/1/2001,,,1.246,,,,,,,2001,2001-05,Summer
670,R25,verde river at beeline highway,verde,verde @ beeline,7/11/2001,7/1/2001,,0.178,0.081,0.4,2.6,,,,,2001,2001-05,Summer
