N,Site Number,Site Location,Cluster Name,Site Acronym,Date,Month,Sample type,TN,TDN,TP,DP,NO3-N,NH4-N ppm,DON,nutrients comments,Year,5-year,Season
7255,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,2/6/2012,2/6/2012,,,,,,,,,2012,,2011-15,
7255,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,3/5/2012,3/5/2012,,,0.6,,,,,,2012,,2011-15,
7255,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,4/2/2012,4/2/2012,,,0.223,,,,,,2012,,2011-15,
7255,Havasu 1,Havasu lake Sample,,Havasu 1,5/7/2012,5/7/2012,,,0.57,,,,,,2012,,2011-15,
7256,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,2/6/2012,2/6/2012,,,,,,,,,2012,,2011-15,
7256,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,3/5/2012,3/5/2012,,,,,,,,,2012,,2011-15,
7256,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,4/2/2012,4/2/2012,,,0.235,,,,,,2012,,2011-15,
7256,HOC,Head of the Consolidated Canal,az canal,,5/7/2012,5/7/2012,,,0.43,,,,,,2012,,2011-15,
7257,R17,Deer Valley WTP treated water,srp,deer valley-treated,2/6/2012,2/6/2012,,,,,,,,,2012,,2011-15,
7257,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,3/5/2012,3/5/2012,,,,,,,,,2012,,2011-15,
7257,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,4/2/2012,4/2/2012,,,0.242,,,,,,2012,,2011-15,
7258,Green In,Greenway WTP Inlet,srp,Greenway WTP Inlet,2/6/2012,2/6/2012,offline,,,,,,,,2012,,2011-15,
7258,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,3/5/2012,3/5/2012,,,,,,,,,2012,,2011-15,
7258,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,4/2/2012,4/2/2012,,,,,,,,,2012,,2011-15,
7258,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,5/7/2012,5/7/2012,,,0.23,,,,,,2012,,2011-15,
7259,Green Out,Greenway WTP Outlet,srp,Greenway WTP Outlet,2/6/2012,2/6/2012,offline,,,,,,,,2012,,2011-15,
7259,R17,Deer Valley WTP treated water,srp,deer valley-treated,3/5/2012,3/5/2012,,,,,,,,,2012,,2011-15,
7259,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,4/2/2012,4/2/2012,,,,,,,,,2012,,2011-15,
7259,MOC,Middle of the Consolidated canal,az canal,,5/7/2012,5/7/2012,,,1.02,,,,,,2012,,2011-15,
7260,Green In,Greenway WTP Inlet,srp,Greenway WTP Inlet,3/5/2012,3/5/2012,,,1,,,,,,2012,,2011-15,
7260,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,4/2/2012,4/2/2012,,,,,,,,,2012,,2011-15,
7261,Green Out,Greenway WTP Outlet,srp,Greenway WTP Outlet,3/5/2012,3/5/2012,,,0.8,,,,,,2012,,2011-15,
7261,R17,Deer Valley WTP treated water,srp,deer valley-treated,4/2/2012,4/2/2012,,,,,,,,,2012,,2011-15,
7262,Green In,Greenway WTP Inlet,srp,Greenway WTP Inlet,4/2/2012,4/2/2012,,,1.03,,,,,,2012,,2011-15,
7262,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,5/7/2012,5/7/2012,,,0.45,,,,,,2012,,2011-15,
7262,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,2/6/2012,2/6/2012,,,0.45,,,,,,2012,,2011-15,
7263,Green Out,Greenway WTP Outlet,srp,Greenway WTP Outlet,4/2/2012,4/2/2012,,,0.387,,,,,,2012,,2011-15,
7263,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,5/7/2012,5/7/2012,,,0.24,,,,,,2012,,2011-15,
7263,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,2/6/2012,2/6/2012,,,0.45,,,,,,2012,,2011-15,
7264,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,2/6/2012,2/6/2012,,,0.29,,,,,,2012,,2011-15,
7264,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,3/5/2012,3/5/2012,,,0.418,,,,,,2012,,2011-15,
7264,R11,CAP Canal at Cross-connect,cap,cap @ x con,5/7/2012,5/7/2012,,,0,,,,,,2012,,2011-15,
7265,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,2/6/2012,2/6/2012,,,0.28,,,,,,2012,,2011-15,
7265,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,5/7/2012,5/7/2012,,,0.23,,,,,,2012,,2011-15,
7265,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,3/5/2012,3/5/2012,,,0.399,,,,,,2012,,2011-15,
7266,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,3/5/2012,3/5/2012,,,1.4,,,,,,2012,,2011-15,
7266,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,5/7/2012,5/7/2012,,,0.25,,,,,,2012,,2011-15,
7266,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,4/2/2012,4/2/2012,,,0.41,,,,,,2012,,2011-15,
7267,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,3/5/2012,3/5/2012,,,0.7,,,,,,2012,,2011-15,
7267,R20,Verde River at Tangle,verde,verde abv horseshoe,5/7/2012,5/7/2012,,,0.11,,,,,,2012,,2011-15,
7267,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,4/2/2012,4/2/2012,,,0.4,,,,,,2012,,2011-15,
7267,R3,Waddell Canal,cap,waddell canal,5/7/2012,5/7/2012,,,0,,,,,,2012,,2011-15,
7268,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,4/2/2012,4/2/2012,,,0.225,,,,,,2012,,2011-15,
7268,R25,verde river at beeline highway,verde,verde @ beeline,5/7/2012,5/7/2012,,,0.31,,,,,,2012,,2011-15,
7268,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,5/7/2012,5/7/2012,,,0.25,,,,,,2012,,2011-15,
7269,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,4/2/2012,4/2/2012,,,0.282,,,,,,2012,,2011-15,
7269,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,5/7/2012,5/7/2012,,,0.17,,,,,,2012,,2011-15,
7269,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,5/7/2012,5/7/2012,,,0.4,,,,,,2012,,2011-15,
7270,R6C,Bartlett Reservoir near outlet,verde,bartlett-dock,5/7/2012,5/7/2012,,,0.2,,,,,,2012,,2011-15,
7270,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,5/7/2012,5/7/2012,,,0.32,,,,,,2012,,2011-15,
7271,R9A,Saguaro Lake near inlet,salt,saguaro-epi,5/7/2012,5/7/2012,,,0.4,,,,,,2012,,2011-15,
7272,R9A-Dup,Saguaro Lake near inlet,salt,saguaro-epi dup,5/7/2012,5/7/2012,,,0.42,,,,,,2012,,2011-15,
7273,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,5/7/2012,5/7/2012,,,0.3,,,,,,2012,,2011-15,
7274,R9C,Saguaro Lake near inlet,salt,saugaro-dock,5/7/2012,5/7/2012,,,0.35,,,,,,2012,,2011-15,
7275,Roos In ,,,,5/7/2012,5/7/2012,,,0.21,,,,,,2012,,2011-15,
7276,SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,5/7/2012,5/7/2012,,,0.24,,,,,,2012,,2011-15,
7279,UH In,Union Hills Inlet,cap,Union Hills Inlet,5/7/2012,5/7/2012,,,0.53,,,,,,2012,,2011-15,
7280,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,5/7/2012,5/7/2012,,,0.46,,,,,,2012,,2011-15,
7281,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,6/4/2012,6/4/2012,,,,,,,,,2012,,2011-15,
7282,An in,Anthem WTP inlet,,anthem,6/4/2012,6/4/2012,,,0.81,,,,,,2012,,2011-15,
7283,An out,Anthem WTP outlet,,anthem,6/4/2012,6/4/2012,,,0.71,,,,,,2012,,2011-15,
7284,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,6/4/2012,6/4/2012,,,,,,,,,2012,,2011-15,
7285,Ch in,Chandler WTP inlet,,chandler,6/4/2012,6/4/2012,,,2.96,,,,,,2012,,2011-15,
7286,Ch out,Chandler WTP outlet,,chandler,6/4/2012,6/4/2012,,,2.89,,,,,,2012,,2011-15,
7287,Glen In,Glendale WTP Inlet,,Glen In,6/4/2012,6/4/2012,,,,,,,,,2012,,2011-15,
7288,Glen Out,Glendale WTP Outlet,,Glen Out,6/4/2012,6/4/2012,,,,,,,,,2012,,2011-15,
7289,Green In,Greenway WTP Inlet,srp,Green In,6/4/2012,6/4/2012,,,,,,,,,2012,,2011-15,
7290,Green Out,Greenway WTP Outlet,srp,Green Out,6/4/2012,6/4/2012,,,,,,,,,2012,,2011-15,
7291,Havasu 1,Havasu lake Sample,,Havasu 1,6/4/2012,6/4/2012,,,0.46,,,,,,2012,,2011-15,
7292,HOC,Head of the Consolidated Canal,az canal,,6/4/2012,6/4/2012,,,0.73,,,,,,2012,,2011-15,
7294,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,6/4/2012,6/4/2012,,,0.43,,,,,,2012,,2011-15,
7295,MOC,Middle of the Consolidated canal,az canal,,6/4/2012,6/4/2012,,,3.23,,,,,,2012,,2011-15,
7298,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,6/4/2012,6/4/2012,,,,,,,,,2012,,2011-15,
7299,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,6/4/2012,6/4/2012,,,0.44,,,,,,2012,,2011-15,
7300,R11,CAP Canal at Cross-connect,cap,cap @ x con,6/4/2012,6/4/2012,,,,,,,,,2012,,2011-15,
7301,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,6/4/2012,6/4/2012,,,0.38,,,,,,2012,,2011-15,
7302,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,6/4/2012,6/4/2012,,,0.39,,,,,,2012,,2011-15,
7303,R20,Verde River at Tangle,verde,verde abv horseshoe,6/4/2012,6/4/2012,,,0.15,,,,,,2012,,2011-15,
7303,R3,Waddell Canal,cap,waddell canal,6/4/2012,6/4/2012,,,0.72,,,,,,2012,,2011-15,
7304,R25,verde river at beeline highway,verde,verde @ beeline,6/4/2012,6/4/2012,,,0.49,,,,,,2012,,2011-15,
7304,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,6/4/2012,6/4/2012,,,0.86,,,,,,2012,,2011-15,
7305,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,6/4/2012,6/4/2012,,,0.44,,,,,,2012,,2011-15,
7305,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,6/4/2012,6/4/2012,,,0.38,,,,,,2012,,2011-15,
7306,R6C,Bartlett Reservoir near outlet,verde,bartlett-dock,6/4/2012,6/4/2012,,,0.47,,,,,,2012,,2011-15,
7306,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,6/4/2012,6/4/2012,,,0.21,,,,,,2012,,2011-15,
7307,R9A,Saguaro Lake near inlet,salt,saguaro-epi,6/4/2012,6/4/2012,,,1.11,,,,,,2012,,2011-15,
7308,R9A-Dup,Saguaro Lake near inlet,salt,saguaro-epi dup,6/4/2012,6/4/2012,,,0.65,,,,,,2012,,2011-15,
7309,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,6/4/2012,6/4/2012,,,0.54,,,,,,2012,,2011-15,
7310,R9C,Saguaro Lake near inlet,salt,saugaro-dock,6/4/2012,6/4/2012,,,0.53,,,,,,2012,,2011-15,
7311,Roos In ,,,,6/4/2012,6/4/2012,,,0.23,,,,,,2012,,2011-15,
7312,SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,6/4/2012,6/4/2012,,,0.4,,,,,,2012,,2011-15,
7315,UH In,Union Hills Inlet,cap,Union Hills Inlet,6/4/2012,6/4/2012,,,,,,,,,2012,,2011-15,
7316,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,6/4/2012,6/4/2012,,,,,,,,,2012,,2011-15,
7317,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,7/9/2012,7/9/2012,,,0.3,,,,,,2012,,2011-15,
7318,An in,Anthem WTP inlet,,anthem,7/9/2012,7/9/2012,,,,,,,,,2012,,2011-15,
7319,An out,Anthem WTP outlet,,anthem,7/9/2012,7/9/2012,,,0.41,,,,,,2012,,2011-15,
7320,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,7/9/2012,7/9/2012,,,0.27,,,,,,2012,,2011-15,
7321,Ch in,Chandler WTP inlet,,chandler,7/9/2012,7/9/2012,,,1.33,,,,,,2012,,2011-15,
7322,Ch out,Chandler WTP outlet,,chandler,7/9/2012,7/9/2012,,,1.46,,,,,,2012,,2011-15,
7323,Gila Salt,,,,7/9/2012,7/9/2012,,,0.38,,,,,,2012,,2011-15,
7324,Glen In,Glendale WTP Inlet,,Glen In,7/9/2012,7/9/2012,,,0.37,,,,,,2012,,2011-15,
7325,Glen Out,Glendale WTP Outlet,,Glen Out,7/9/2012,7/9/2012,,,0.25,,,,,,2012,,2011-15,
7326,Green In,Greenway WTP Inlet,srp,Green In,7/9/2012,7/9/2012,,,0.33,,,,,,2012,,2011-15,
7327,Green Out,Greenway WTP Outlet,srp,Green Out,7/9/2012,7/9/2012,,,0.39,,,,,,2012,,2011-15,
7328,Havasu 1,Havasu lake Sample,,Havasu 1,7/9/2012,7/9/2012,,,0.46,,,,,,2012,,2011-15,
7329,HOC,Head of the Consolidated Canal,az canal,,7/9/2012,7/9/2012,,,0.45,,,,,,2012,,2011-15,
7331,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,7/9/2012,7/9/2012,,,0.25,,,,,,2012,,2011-15,
7332,Mesa Turnout,,,,7/9/2012,7/9/2012,,,0.39,,,,,,2012,,2011-15,
7333,MOC,Middle of the Consolidated canal,az canal,,7/9/2012,7/9/2012,,,1.4,,,,,,2012,,2011-15,
7336,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,7/9/2012,7/9/2012,,,0.24,,,,,,2012,,2011-15,
7337,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,7/9/2012,7/9/2012,,,0.24,,,,,,2012,,2011-15,
7338,R11,CAP Canal at Cross-connect,cap,cap @ x con,7/9/2012,7/9/2012,,,,,,,,,2012,,2011-15,
7339,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,7/9/2012,7/9/2012,,,0.23,,,,,,2012,,2011-15,
7340,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,7/9/2012,7/9/2012,,,0.22,,,,,,2012,,2011-15,
7341,R20,Verde River at Tangle,verde,verde abv horseshoe,7/9/2012,7/9/2012,,,0.14,,,,,,2012,,2011-15,
7341,R3,Waddell Canal,cap,waddell canal,7/9/2012,7/9/2012,,,,,,,,,2012,,2011-15,
7342,R25,verde river at beeline highway,verde,verde @ beeline,7/9/2012,7/9/2012,,,0.26,,,,,,2012,,2011-15,
7342,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,7/9/2012,7/9/2012,,,0.25,,,,,,2012,,2011-15,
7343,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,7/9/2012,7/9/2012,,,0.4,,,,,,2012,,2011-15,
7343,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,7/9/2012,7/9/2012,,,0.38,,,,,,2012,,2011-15,
7344,R6C,Bartlett Reservoir near outlet,verde,bartlett-dock,7/9/2012,7/9/2012,,,,,,,,,2012,,2011-15,
7344,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,7/9/2012,7/9/2012,,,0.21,,,,,,2012,,2011-15,
7345,R9A,Saguaro Lake near inlet,salt,saguaro-epi,7/9/2012,7/9/2012,,,0.25,,,,,,2012,,2011-15,
7346,R9A-Dup,Saguaro Lake near inlet,salt,saguaro-epi dup,7/9/2012,7/9/2012,,,0.29,,,,,,2012,,2011-15,
7347,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,7/9/2012,7/9/2012,,,0.28,,,,,,2012,,2011-15,
7348,R9C,Saguaro Lake near inlet,salt,saugaro-dock,7/9/2012,7/9/2012,,,0.26,,,,,,2012,,2011-15,
7349,Roos In ,,,,7/9/2012,7/9/2012,,,0.17,,,,,,2012,,2011-15,
7350,SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,7/9/2012,7/9/2012,,,0.21,,,,,,2012,,2011-15,
7353,UH In,Union Hills Inlet,cap,Union Hills Inlet,7/9/2012,7/9/2012,,,0.38,,,,,,2012,,2011-15,
7354,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,7/9/2012,7/9/2012,,,0.3,,,,,,2012,,2011-15,
7355,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,8/6/2012,8/6/2012,,,0.34,,,,,,2012,,2011-15,
7356,An in,Anthem WTP inlet,,anthem,8/6/2012,8/6/2012,,,0.44,,,,,,2012,,2011-15,
7357,An out,Anthem WTP outlet,,anthem,8/6/2012,8/6/2012,,,0.3,,,,,,2012,,2011-15,
7358,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,8/6/2012,8/6/2012,,,1.8,,,,,,2012,,2011-15,
7359,Ch in,Chandler WTP inlet,,chandler,8/6/2012,8/6/2012,,,0.3,,,,,,2012,,2011-15,
7360,Ch out,Chandler WTP outlet,,chandler,8/6/2012,8/6/2012,,,1.63,,,,,,2012,,2011-15,
7361,Glen In,Glendale WTP Inlet,,Glen In,8/6/2012,8/6/2012,,,0.72,,,,,,2012,,2011-15,
7362,Glen Out,Glendale WTP Outlet,,Glen Out,8/6/2012,8/6/2012,,,0.55,,,,,,2012,,2011-15,
7363,Green In,Greenway WTP Inlet,srp,Green In,8/6/2012,8/6/2012,,,0.7,,,,,,2012,,2011-15,
7364,Green Out,Greenway WTP Outlet,srp,Green Out,8/6/2012,8/6/2012,,,1.5,,,,,,2012,,2011-15,
7365,Havasu 1,Havasu lake Sample,,Havasu 1,8/6/2012,8/6/2012,,,,,,,,,2012,,2011-15,
7366,HOC,Head of the Consolidated Canal,az canal,,8/6/2012,8/6/2012,,,0.62,,,,,,2012,,2011-15,
7368,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,8/6/2012,8/6/2012,,,0.26,,,,,,2012,,2011-15,
7369,MOC,Middle of the Consolidated canal,az canal,,8/6/2012,8/6/2012,,,1.47,,,,,,2012,,2011-15,
7372,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,8/6/2012,8/6/2012,,,0.28,,,,,,2012,,2011-15,
7373,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,8/6/2012,8/6/2012,,,0.28,,,,,,2012,,2011-15,
7374,R11,CAP Canal at Cross-connect,cap,cap @ x con,8/6/2012,8/6/2012,,,,,,,,,2012,,2011-15,
7375,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,8/6/2012,8/6/2012,,,0.26,,,,,,2012,,2011-15,
7376,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,8/6/2012,8/6/2012,,,0.25,,,,,,2012,,2011-15,
7377,R20,Verde River at Tangle,verde,verde abv horseshoe,8/6/2012,8/6/2012,,,0.34,,,,,,2012,,2011-15,
7377,R3,Waddell Canal,cap,waddell canal,8/6/2012,8/6/2012,,,0.44,,,,,,2012,,2011-15,
7378,R25,verde river at beeline highway,verde,verde @ beeline,8/6/2012,8/6/2012,,,0.31,,,,,,2012,,2011-15,
7378,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,8/6/2012,8/6/2012,,,0.54,,,,,,2012,,2011-15,
7379,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,8/6/2012,8/6/2012,,,0.38,,,,,,2012,,2011-15,
7379,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,8/6/2012,8/6/2012,,,,,,,,,2012,,2011-15,
7380,R6C,Bartlett Reservoir near outlet,verde,bartlett-dock,8/6/2012,8/6/2012,,,,,,,,,2012,,2011-15,
7380,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,8/6/2012,8/6/2012,,,,,,,,,2012,,2011-15,
7381,R9A,Saguaro Lake near inlet,salt,saguaro-epi,8/6/2012,8/6/2012,,,0.42,,,,,,2012,,2011-15,
7382,R9A-Dup,Saguaro Lake near inlet,salt,saguaro-epi dup,8/6/2012,8/6/2012,,,0.5,,,,,,2012,,2011-15,
7383,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,8/6/2012,8/6/2012,,,0.45,,,,,,2012,,2011-15,
7384,R9C,Saguaro Lake near inlet,salt,saugaro-dock,8/6/2012,8/6/2012,,,,,,,,,2012,,2011-15,
7385,Roos In ,,,,8/6/2012,8/6/2012,,,,,,,,,2012,,2011-15,
7386,SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,8/6/2012,8/6/2012,,,0.28,,,,,,2012,,2011-15,
7389,UH In,Union Hills Inlet,cap,Union Hills Inlet,8/6/2012,8/6/2012,,,0.37,,,,,,2012,,2011-15,
7390,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,8/6/2012,8/6/2012,,,0.32,,,,,,2012,,2011-15,
7391,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,9/10/2012,9/10/2012,,,0.474,,,,,,2012,,2011-15,
7392,An in,Anthem WTP inlet,,anthem,9/10/2012,9/10/2012,,,0.458,,,,,,2012,,2011-15,
7393,An out,Anthem WTP outlet,,anthem,9/10/2012,9/10/2012,,,0.413,,,,,,2012,,2011-15,
7394,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,9/10/2012,9/10/2012,,,0.578,,,,,,2012,,2011-15,
7395,Ch in,Chandler WTP inlet,,chandler,9/10/2012,9/10/2012,,,2.92,,,,,,2012,,2011-15,
7396,Ch out,Chandler WTP outlet,,chandler,9/10/2012,9/10/2012,,,2.64,,,,,,2012,,2011-15,
7397,Glen In,Glendale WTP Inlet,,Glen In,9/10/2012,9/10/2012,,,1.116,,,,,,2012,,2011-15,
7398,Glen Out,Glendale WTP Outlet,,Glen Out,9/10/2012,9/10/2012,,,1.428,,,,,,2012,,2011-15,
7399,Green In,Greenway WTP Inlet,srp,Green In,9/10/2012,9/10/2012,,,1.99,,,,,,2012,,2011-15,
7400,Green Out,Greenway WTP Outlet,srp,Green Out,9/10/2012,9/10/2012,,,2.444,,,,,,2012,,2011-15,
7401,Havasu 1,Havasu lake Sample,,Havasu 1,9/10/2012,9/10/2012,,,0.43,,,,,,2012,,2011-15,
7402,HOC,Head of the Consolidated Canal,az canal,,9/10/2012,9/10/2012,,,0.538,,,,,,2012,,2011-15,
7404,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,9/10/2012,9/10/2012,,,0.349,,,,,,2012,,2011-15,
7405,Mesa Turnout,,,,9/10/2012,9/10/2012,,,0.368,,,,,,2012,,2011-15,
7406,MOC,Middle of the Consolidated canal,az canal,Mesa Turnout,9/10/2012,9/10/2012,,,1.749,,,,,,2012,,2011-15,
7409,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,9/10/2012,9/10/2012,,,0.383,,,,,,2012,,2011-15,
7410,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,9/10/2012,9/10/2012,,,0.303,,,,,,2012,,2011-15,
7411,R11,CAP Canal at Cross-connect,cap,cap @ x con,9/10/2012,9/10/2012,,,,,,,,,2012,,2011-15,
7412,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,9/10/2012,9/10/2012,,,0.362,,,,,,2012,,2011-15,
7413,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,9/10/2012,9/10/2012,,,0.414,,,,,,2012,,2011-15,
7414,R20,Verde River at Tangle,verde,verde abv horseshoe,9/10/2012,9/10/2012,,,0.487,,,,,,2012,,2011-15,
7414,R3,Waddell Canal,cap,waddell canal,9/10/2012,9/10/2012,,,0.233,,,,,,2012,,2011-15,
7415,R25,verde river at beeline highway,verde,verde @ beeline,9/10/2012,9/10/2012,,,0.385,,,,,,2012,,2011-15,
7415,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,9/10/2012,9/10/2012,,,0.314,,,,,,2012,,2011-15,
7416,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,9/10/2012,9/10/2012,,,0.3,,,,,,2012,,2011-15,
7416,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,9/10/2012,9/10/2012,,,0.263,,,,,,2012,,2011-15,
7417,R9A,Saguaro Lake near inlet,salt,saguaro-epi,9/10/2012,9/10/2012,,,0.402,,,,,,2012,,2011-15,
7417,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,9/10/2012,9/10/2012,,,0.489,,,,,,2012,,2011-15,
7418,R9A-Dup,Saguaro Lake near inlet,salt,saguaro-epi dup,9/10/2012,9/10/2012,,,0.38,,,,,,2012,,2011-15,
7419,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,9/10/2012,9/10/2012,,,0.313,,,,,,2012,,2011-15,
7420,Roos In ,,,,9/10/2012,9/10/2012,,,0.48,,,,,,2012,,2011-15,
7421,Salt Gila,,,Salt Gila,9/10/2012,9/10/2012,,,0.388,,,,,,2012,,2011-15,
7422,SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,9/10/2012,9/10/2012,,,0.357,,,,,,2012,,2011-15,
7425,UH In,Union Hills Inlet,cap,Union Hills Inlet,9/10/2012,9/10/2012,,,0.506,,,,,,2012,,2011-15,
7426,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,9/10/2012,9/10/2012,,,0.353,,,,,,2012,,2011-15,
7427,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,10/1/2012,10/1/2012,,,0.53,,,,,,2012,,2011-15,
7428,An in,Anthem WTP inlet,,anthem,10/1/2012,10/1/2012,,,0.46,,,,,,2012,,2011-15,
7429,An out,Anthem WTP outlet,,anthem,10/1/2012,10/1/2012,,,0.45,,,,,,2012,,2011-15,
7430,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,10/1/2012,10/1/2012,,,0.62,,,,,,2012,,2011-15,
7431,Ch in,Chandler WTP inlet,,chandler,10/1/2012,10/1/2012,,,4.31,,,,,,2012,,2011-15,
7432,Ch out,Chandler WTP outlet,,chandler,10/1/2012,10/1/2012,,,4.08,,,,,,2012,,2011-15,
7433,Glen In,Glendale WTP Inlet,,Glen In,10/1/2012,10/1/2012,,,1.02,,,,,,2012,,2011-15,
7434,Glen Out,Glendale WTP Outlet,,Glen Out,10/1/2012,10/1/2012,,,0.89,,,,,,2012,,2011-15,
7435,Green In,Greenway WTP Inlet,srp,Green In,10/1/2012,10/1/2012,,,3.7,,,,,,2012,,2011-15,
7436,Green Out,Greenway WTP Outlet,srp,Green Out,10/1/2012,10/1/2012,,,2.67,,,,,,2012,,2011-15,
7437,Havasu 1,Havasu lake Sample,,Havasu 1,10/1/2012,10/1/2012,,,,,,,,,2012,,2011-15,
7438,HOC,Head of the Consolidated Canal,az canal,,10/1/2012,10/1/2012,,,0.88,,,,,,2012,,2011-15,
7440,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,10/1/2012,10/1/2012,,,0.32,,,,,,2012,,2011-15,
7441,Mesa Turnout,,,,10/1/2012,10/1/2012,,,,,,,,,2012,,2011-15,
7442,MOC,Middle of the Consolidated canal,az canal,Mesa Turnout,10/1/2012,10/1/2012,,,4.37,,,,,,2012,,2011-15,
