N,Site Number,Site Location,Cluster Name,Site Acronym,Date,Month,Sample type,TN,TDN,TP,DP,NO3-N,NH4-N ppm,DON,nutrients comments,Year,5-year
11586,GR IN,Greenway WTP Inlet,srp,Green In,5/1/2020,5/1/2020,,,,,,,,,2020,,2016-20
11611,GR IN,Greenway WTP Inlet,srp,Green In,5/1/2020,5/1/2020,,,,,,,,,2020,,2016-20
11636,GR IN,Greenway WTP Inlet,srp,Green In,6/1/2020,6/1/2020,,,,,,,,,2020,,2016-20
11661,GR IN,Greenway WTP Inlet,srp,Green In,6/1/2020,6/1/2020,,,,,,,,,2020,,2016-20
11686,GR IN,Greenway WTP Inlet,srp,Green In,7/1/2020,7/1/2020,,,,,,,,,2020,,2016-20
11711,GR IN,Greenway WTP Inlet,srp,Green In,7/1/2020,7/1/2020,,,,,,,,,2020,,2016-20
11736,GR IN,Greenway WTP Inlet,srp,Green In,8/1/2020,8/1/2020,,,,,,,,,2020,,2016-20
11761,GR IN,Greenway WTP Inlet,srp,Green In,8/1/2020,8/1/2020,,,,,,,,,2020,,2016-20
11786,GR IN,Greenway WTP Inlet,srp,Green In,9/1/2020,9/1/2020,,,,,,,,,2020,,2016-20
11811,GR IN,Greenway WTP Inlet,srp,Green In,9/1/2020,9/1/2020,,,,,,,,,2020,,2016-20
11836,GR IN,Greenway WTP Inlet,srp,Green In,10/1/2020,10/1/2020,,,,,,,,,2020,,2016-20
11861,GR IN,Greenway WTP Inlet,srp,Green In,10/1/2020,10/1/2020,,,,,,,,,2020,,2016-20
11886,GR IN,Greenway WTP Inlet,srp,Green In,11/1/2020,11/1/2020,,,,,,,,,2020,,2016-20
11911,GR IN,Greenway WTP Inlet,srp,Green In,11/1/2020,11/1/2020,,,,,,,,,2020,,2016-20
11936,GR IN,Greenway WTP Inlet,srp,Green In,1/1/2021,1/1/2021,,,,,,,,,2021,,
11961,GR IN,Greenway WTP Inlet,srp,Green In,1/1/2021,1/1/2021,,,,,,,,,2021,,
11986,GR IN,Greenway WTP Inlet,srp,Green In,2/1/2021,2/1/2021,,,,,,,,,2021,,
12011,GR IN,Greenway WTP Inlet,srp,Green In,2/1/2021,2/1/2021,,,,,,,,,2021,,
12036,GR IN,Greenway WTP Inlet,srp,Green In,,,,,,,,,,,,,
12061,GR IN,Greenway WTP Inlet,srp,Green In,,,,,,,,,,,,,
9337,GR OUT,Greenway WTP Outlet,srp,Green Out,6/6/2016,6/6/2016,,,,,,,,,2016,,2016-20
9387,GR OUT,Greenway WTP Outlet,srp,Green Out,7/11/2016,7/11/2016,,,,,,,,,2016,,2016-20
9437,GR OUT,Greenway WTP Outlet,srp,Green Out,8/1/2016,8/1/2016,,,,,,,,,2016,,2016-20
9487,GR OUT,Greenway WTP Outlet,srp,Green Out,9/12/2016,9/12/2016,,,,,,,,,2016,,2016-20
9537,GR OUT,Greenway WTP Outlet,srp,Green Out,10/24/2016,10/24/2016,,,,,,,,,2016,,2016-20
9587,GR OUT,Greenway WTP Outlet,srp,Green Out,11/7/2016,11/7/2016,,,,,,,,,2016,,2016-20
9637,GR OUT,Greenway WTP Outlet,srp,Green Out,12/5/2016,12/5/2016,,,,,,,,,2016,,2016-20
9687,GR OUT,Greenway WTP Outlet,srp,Green Out,1/2/2017,1/2/2017,,,,,,,,,2017,,2016-20
9737,GR OUT,Greenway WTP Outlet,srp,Green Out,2/6/2017,2/6/2017,,,,,,,,,2017,,2016-20
9787,GR OUT,Greenway WTP Outlet,srp,Green Out,3/6/2017,3/6/2017,,,,,,,,,2017,,2016-20
9837,GR OUT,Greenway WTP Outlet,srp,Green Out,4/3/2017,4/3/2017,,,,,,,,,2017,,2016-20
9887,GR OUT,Greenway WTP Outlet,srp,Green Out,5/1/2017,5/1/2017,,,0.35,,,,,,2017,,2016-20
9937,GR OUT,Greenway WTP Outlet,srp,Green Out,6/5/2017,6/5/2017,,,0.66,,,,,,2017,,2016-20
9987,GR OUT,Greenway WTP Outlet,srp,Green Out,7/3/2017,7/3/2017,,,0.478,,,,,,2017,,2016-20
10037,GR OUT,Greenway WTP Outlet,srp,Green Out,8/7/2017,8/7/2017,,,0.741,,,,,,2017,,2016-20
10087,GR OUT,Greenway WTP Outlet,srp,Green Out,9/4/2017,9/4/2017,,,0.365,,,,,,2017,,2016-20
10137,GR OUT,Greenway WTP Outlet,srp,Green Out,10/2/2017,10/2/2017,,,0.321,,,,,,2017,,2016-20
10187,GR OUT,Greenway WTP Outlet,srp,Green Out,11/6/2017,11/6/2017,,,0.673,,,,,,2017,,2016-20
10237,GR OUT,Greenway WTP Outlet,srp,Green Out,12/4/2017,12/4/2017,,,0.216,,,,,,2017,,2016-20
10287,GR OUT,Greenway WTP Outlet,srp,Green Out,1/8/2018,1/8/2018,,,,,,,,,2018,,2016-20
10337,GR OUT,Greenway WTP Outlet,srp,Green Out,2/5/2018,2/5/2018,,,,,,,,,2018,,2016-20
10387,GR OUT,Greenway WTP Outlet,srp,Green Out,3/5/2018,3/5/2018,,,,,,,,,2018,,2016-20
10437,GR OUT,Greenway WTP Outlet,srp,Green Out,4/2/2018,4/2/2018,,,20.08,,,,,,2018,,2016-20
10487,GR OUT,Greenway WTP Outlet,srp,Green Out,5/7/2018,5/7/2018,,,0.186,,,,,,2018,,2016-20
10537,GR OUT,Greenway WTP Outlet,srp,Green Out,6/4/2018,6/4/2018,,,0.509,,,,,,2018,,2016-20
10587,GR OUT,Greenway WTP Outlet,srp,Green Out,7/10/2018,7/10/2018,,,0.688,,,,,,2018,,2016-20
10637,GR OUT,Greenway WTP Outlet,srp,Green Out,8/21/2018,8/21/2018,,,1.312,,,,,,2018,,2016-20
10687,GR OUT,Greenway WTP Outlet,srp,Green Out,9/25/2018,9/25/2018,,,0.623,,,,,,2018,,2016-20
10737,GR OUT,Greenway WTP Outlet,srp,Green Out,10/22/2018,10/22/2018,,,1.542,,,,,,2018,,2016-20
10787,GR OUT,Greenway WTP Outlet,srp,Green Out,11/26/2018,11/26/2018,,,0.054,,,,,,2018,,2016-20
10837,GR OUT,Greenway WTP Outlet,srp,Green Out,12/6/2018,12/6/2018,,,,,,,,,2018,,2016-20
10887,GR OUT,Greenway WTP Outlet,srp,Green Out,1/22/2019,1/22/2019,,,0.241,,,,,,2019,,2016-20
10937,GR OUT,Greenway WTP Outlet,srp,Green Out,2/25/2019,2/25/2019,,,,,,,,,2019,,2016-20
