ID,Site Number,Site Location,Cluster Name,Site Acronym,Date,DOC,UVA,SUVA,TDN,E. coli,Coliform,Mycobacterium,Season,Year
12268,HWY 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,1/1/2021,,,,,,,4,Winter,2021
12269,PIMA,AZ Canal at Pima Rd.,srp,az canal @ pima,1/1/2021,,,,,,,13,Winter,2021
12263,R11,CAP Canal at Cross-connect,cap,cap @ x con,1/1/2021,4.4,0.015,0.3,0.331,154,55,89,Winter,2021
12266,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,1/1/2021,,,,,,,53,Winter,2021
12267,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,1/1/2021,,,,,,,8,Winter,2021
12271,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,1/1/2021,,,,,,,16,Winter,2021
12270,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,1/1/2021,,,,,,,0,Winter,2021
12234,R25,verde river at beeline highway,verde,verde @ beeline,1/1/2021,1.2,,,,,,8,Winter,2021
12258,R3,Waddell Canal,cap,waddell canal,1/1/2021,4.2,0.034,0.8,0.32,123,211,,Winter,2021
12274,SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,1/1/2021,3.6,0.093,2.6,0.332,269,223,18,Winter,2021
12218,HWY 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,11/1/2020,4.08,0.075,1.84,1.754,,,,Fall,2020
12219,PIMA,AZ Canal at Pima Rd.,srp,az canal @ pima,11/1/2020,4.21,0.101,2.4,1.752,230,650,,Fall,2020
12213,R11,CAP Canal at Cross-connect,cap,cap @ x con,11/1/2020,3.79,0.028,0.74,1.706,120,320,21,Fall,2020
12216,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,11/1/2020,3.91,0.052,1.33,1.728,100,400,,Fall,2020
12217,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,11/1/2020,4.09,0.062,1.52,1.729,163,,,Fall,2020
12221,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,11/1/2020,4.11,0.064,1.56,1.711,,,,Fall,2020
12220,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,11/1/2020,4.13,0.092,2.23,1.752,,,,Fall,2020
12184,R25,verde river at beeline highway,verde,verde @ beeline,11/1/2020,3.8,0.047,1.2,1.762,,,,Fall,2020
12208,R3,Waddell Canal,cap,waddell canal,11/1/2020,3.86,0.043,1.11,1.735,112,,23,Fall,2020
12224,SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,11/1/2020,4.11,0.1,2.43,1.739,225,881,43,Fall,2020
12168,HWY 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,10/1/2020,4.03,0.116,2.88,0.251,75,650,45,Fall,2020
12169,PIMA,AZ Canal at Pima Rd.,srp,az canal @ pima,10/1/2020,4.06,0.137,3.38,0.245,,,30,Fall,2020
12163,R11,CAP Canal at Cross-connect,cap,cap @ x con,10/1/2020,,,,,,,0,Fall,2020
12166,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,10/1/2020,4.27,0.123,2.88,0.264,62,550,12,Fall,2020
12167,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,10/1/2020,4.16,0.145,3.49,0.262,67,555,0,Fall,2020
12171,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,10/1/2020,4.3,0.126,2.93,0.223,80,450,12,Fall,2020
12170,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,10/1/2020,4.28,0.139,3.25,0.263,80,,33,Fall,2020
12134,R25,verde river at beeline highway,verde,verde @ beeline,10/1/2020,,,,,15,250,15,Fall,2020
12158,R3,Waddell Canal,cap,waddell canal,10/1/2020,2.84,0.064,2.26,0.31,90,,0,Fall,2020
12174,SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,10/1/2020,4.02,0.131,3.26,0.287,,,5,Fall,2020
12118,HWY 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,9/1/2020,5.01,0.122,2.44,0.487,27,,13,Summer,2020
12119,PIMA,AZ Canal at Pima Rd.,srp,az canal @ pima,9/1/2020,4.96,0.13,2.62,0.536,17,,17,Summer,2020
12113,R11,CAP Canal at Cross-connect,cap,cap @ x con,9/1/2020,,,,,,,,Summer,2020
12116,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,9/1/2020,4.79,0.121,2.53,0.469,39,,7,Summer,2020
12117,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,9/1/2020,4.92,0.118,2.4,0.46,24,460,21,Summer,2020
12121,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,9/1/2020,4.84,0.125,2.58,0.35,25,,10,Summer,2020
12120,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,9/1/2020,4.95,0.13,2.62,0.531,14,426,11,Summer,2020
12084,R25,verde river at beeline highway,verde,verde @ beeline,9/1/2020,,,,,,,,Summer,2020
12108,R3,Waddell Canal,cap,waddell canal,9/1/2020,3.09,0.063,2.04,0.393,9,310,19,Summer,2020
12124,SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,9/1/2020,5.33,0.125,2.34,0.438,22,120,18,Summer,2020
12068,HWY 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,8/1/2020,4.36,0.105,2.41,,353,,11,Summer,2020
12069,PIMA,AZ Canal at Pima Rd.,srp,az canal @ pima,8/1/2020,4.45,0.101,2.27,,390,,12,Summer,2020
12063,R11,CAP Canal at Cross-connect,cap,cap @ x con,8/1/2020,3.58,0.053,1.48,,44,580,,Summer,2020
12066,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,8/1/2020,4.79,0.116,2.42,,154,810,9,Summer,2020
12067,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,8/1/2020,4.48,0.099,2.21,,370,,33,Summer,2020
12071,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,8/1/2020,4.55,0.122,2.68,,340,560,22,Summer,2020
12070,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,8/1/2020,4.8,0.141,2.94,,475,,20,Summer,2020
12065,R25,verde river at beeline highway,verde,verde @ beeline,8/1/2020,4.39,0.2,4.56,,,,,Summer,2020
12058,R3,Waddell Canal,cap,waddell canal,8/1/2020,3.72,0.046,1.24,,8,360,20,Summer,2020
12074,SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,8/1/2020,4.73,0.121,2.56,,204,,21,Summer,2020
12018,HWY 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,7/23/2020,4.97,0.17,3.42,0.323,124,268,23,Summer,2020
12019,PIMA,AZ Canal at Pima Rd.,srp,az canal @ pima,7/23/2020,4.74,0.136,2.87,0.301,42,290,21,Summer,2020
12013,R11,CAP Canal at Cross-connect,cap,cap @ x con,7/23/2020,3.4,0.079,2.33,,225,,9,Summer,2020
12016,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,7/23/2020,3.24,0.08,2.47,0.272,20,424,21,Summer,2020
12017,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,7/23/2020,4.73,0.139,2.94,0.329,58,364,29,Summer,2020
12021,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,7/23/2020,4.67,0.167,3.58,0.364,68,376,27,Summer,2020
12020,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,7/23/2020,4.59,0.152,3.31,0.323,51,420,23,Summer,2020
11984,R25,verde river at beeline highway,verde,verde @ beeline,7/23/2020,5,0.17,3.4,0.264,95,460,9,Summer,2020
12008,R3,Waddell Canal,cap,waddell canal,7/23/2020,4.97,0.095,1.91,0.442,102,160,11,Summer,2020
12024,SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,7/23/2020,4.96,0.177,3.57,0.349,109,224,19,Summer,2020
11968,HWY 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,6/1/2020,6.44,0.209,3.24,0.684,,,15,Spring,2020
11969,PIMA,AZ Canal at Pima Rd.,srp,az canal @ pima,6/1/2020,5.42,0.195,3.6,0.415,26,492,25,Spring,2020
11963,R11,CAP Canal at Cross-connect,cap,cap @ x con,6/1/2020,,,,,,,20,Spring,2020
11966,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,6/1/2020,5.48,0.209,3.82,0.432,31,391,17,Spring,2020
11967,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,6/1/2020,5.73,0.097,1.69,0.566,75,420,21,Spring,2020
11971,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,6/1/2020,5.2,0.191,3.67,0.423,90,,17,Spring,2020
11970,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,6/1/2020,5.28,0.201,3.8,0.5,160,,9,Spring,2020
11965,R25,verde river at beeline highway,verde,verde @ beeline,6/1/2020,5.47,0.226,4.13,0.348,47,120,19,Spring,2020
11958,R3,Waddell Canal,cap,waddell canal,6/1/2020,3.57,0.094,2.63,0.39,46,300,25,Spring,2020
11974,SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,6/1/2020,5.52,0.204,3.7,0.431,51,320,13,Spring,2020
11918,HWY 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,5/1/2020,5.96,0.087,1.46,1.581,22,,7,Spring,2020
11919,PIMA,AZ Canal at Pima Rd.,srp,az canal @ pima,5/1/2020,4.25,0.082,1.93,0.347,15,130,19,Spring,2020
11913,R11,CAP Canal at Cross-connect,cap,cap @ x con,5/1/2020,3.9,0.008,0.21,0.547,8,,14,Spring,2020
11916,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,5/1/2020,5.64,0.015,0.27,0.635,16,,6,Spring,2020
11917,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,5/1/2020,5.73,0.097,1.69,0.566,21,611,8,Spring,2020
11921,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,5/1/2020,4.09,0.085,2.08,0.43,36,342,18,Spring,2020
11920,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,5/1/2020,3.17,0.077,2.43,0.759,37,980,2,Spring,2020
11884,R25,verde river at beeline highway,verde,verde @ beeline,5/1/2020,4.2,0.063,1.5,0.786,57,820,20,Spring,2020
11908,R3,Waddell Canal,cap,waddell canal,5/1/2020,6.32,0.039,0.62,0.582,10,132,4,Spring,2020
11924,SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,5/1/2020,3.99,0.129,3.23,0.997,41,,10,Spring,2020
11868,HWY 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,2/25/2020,4,0.139,3.5,0.431,200,620,72,Winter,2020
11869,PIMA,AZ Canal at Pima Rd.,srp,az canal @ pima,2/25/2020,5.6,0.229,4.1,0.611,70,480,98,Winter,2020
11863,R11,CAP Canal at Cross-connect,cap,cap @ x con,2/25/2020,3.1,0.055,,0.447,19,135,,Winter,2020
11866,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,2/25/2020,2.7,0.05,1.9,0.394,23,156,56,Winter,2020
11867,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,2/25/2020,3.5,0.113,3.2,0.371,220,,23,Winter,2020
11871,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,2/25/2020,3.4,0.114,3.4,0.431,37,436,,Winter,2020
11870,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,2/25/2020,6.4,0.316,4.9,0.919,,,,Winter,2020
11865,R25,verde river at beeline highway,verde,verde @ beeline,2/25/2020,,,,,,,34,Winter,2020
11858,R3,Waddell Canal,cap,waddell canal,2/25/2020,3.4,0.048,1.4,0.487,13,310,8,Winter,2020
11874,SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,2/25/2020,3.8,0.08,2.1,0.43,480,,43,Winter,2020
12318,HWY 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,2/1/2020,3.2,0.082,2.6,0.496,220,420,,Winter,2020
12319,PIMA,AZ Canal at Pima Rd.,srp,az canal @ pima,2/1/2020,3.3,0.104,3.1,0.538,53,278,,Winter,2020
12313,R11,CAP Canal at Cross-connect,cap,cap @ x con,2/1/2020,3.1,0.077,2.5,0.538,176,432,,Winter,2020
12316,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,2/1/2020,3.2,0.095,3,0.6,95,298,,Winter,2020
12317,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,2/1/2020,3.1,0.096,3.1,0.507,154,312,,Winter,2020
12321,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,2/1/2020,3,0.106,3.5,0.561,60,329,,Winter,2020
12320,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,2/1/2020,3.2,0.097,3,0.605,127,298,,Winter,2020
12315,R25,verde river at beeline highway,verde,verde @ beeline,2/1/2020,3.1,0.096,3.1,0.526,276,,,Winter,2020
12308,R3,Waddell Canal,cap,waddell canal,2/1/2020,,,,,,,,Winter,2020
12324,SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,2/1/2020,3.2,0.08,2.5,0.603,112,300,,Winter,2020
11818,HWY 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,1/27/2020,3.4,0.043,1.3,0.343,450,58,52,Winter,2020
11819,PIMA,AZ Canal at Pima Rd.,srp,az canal @ pima,1/27/2020,3.7,0.097,2.6,0.379,790,650,72,Winter,2020
11813,R11,CAP Canal at Cross-connect,cap,cap @ x con,1/27/2020,2.8,0.015,,0.338,160,19,31,Winter,2020
11816,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,1/27/2020,2.8,0.09,3.2,0.326,360,23,34,Winter,2020
11817,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,1/27/2020,3.2,0.039,1.2,0.366,132,660,30,Winter,2020
11821,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,1/27/2020,3.5,0.093,2.6,0.455,600,283,16,Winter,2020
11820,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,1/27/2020,3.7,0.064,1.7,0.333,220,800,10,Winter,2020
11784,R25,verde river at beeline highway,verde,verde @ beeline,1/27/2020,1.2,,,,,,21,Winter,2020
11808,R3,Waddell Canal,cap,waddell canal,1/27/2020,3.1,0.011,0.4,0.32,310,45,9,Winter,2020
11824,SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,1/27/2020,3.8,0.08,2.1,0.304,240,254,22,Winter,2020
11768,HWY 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,12/16/2019,5.31,0.147,2.77,0.343,186,365,65,Fall,2019
11769,PIMA,AZ Canal at Pima Rd.,srp,az canal @ pima,12/16/2019,5.11,0.145,2.84,0.379,,,9,Fall,2019
11763,R11,CAP Canal at Cross-connect,cap,cap @ x con,12/16/2019,,,,,,,,Fall,2019
11766,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,12/16/2019,5.29,0.147,2.78,0.326,75,476,36,Fall,2019
11767,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,12/16/2019,5.19,0.147,2.83,0.366,48,574,,Fall,2019
11771,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,12/16/2019,5.59,0.145,2.59,0.455,112,476,14,Fall,2019
11770,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,12/16/2019,5.25,0.146,2.78,0.333,31,424,78,Fall,2019
11765,R25,verde river at beeline highway,verde,verde @ beeline,12/16/2019,5.35,0.149,2.79,0.403,107,636,14,Fall,2019
11758,R3,Waddell Canal,cap,waddell canal,12/16/2019,3.38,0.053,1.57,0.32,,,11,Fall,2019
11774,SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,12/16/2019,5.52,0.149,2.7,0.43,65,397,,Fall,2019
11718,HWY 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,11/25/2019,3.98,0.099,2.49,0.379,31,329,65,Fall,2019
11719,PIMA,AZ Canal at Pima Rd.,srp,az canal @ pima,11/25/2019,4.15,0.101,2.44,0.338,23,317,9,Fall,2019
11713,R11,CAP Canal at Cross-connect,cap,cap @ x con,11/25/2019,5.88,,,,,,,Fall,2019
11716,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,11/25/2019,4.29,0.106,2.47,0.438,47,541,36,Fall,2019
11717,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,11/25/2019,3.91,0.098,2.51,0.338,236,147,,Fall,2019
11721,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,11/25/2019,3.57,0.09,2.52,1.86,67,,14,Fall,2019
11720,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,11/25/2019,3.8,0.095,2.5,0.454,42,336,78,Fall,2019
11684,R25,verde river at beeline highway,verde,verde @ beeline,11/25/2019,,,,,,,14,Fall,2019
11708,R3,Waddell Canal,cap,waddell canal,11/25/2019,3,0.052,1.73,,,765,11,Fall,2019
11724,SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,11/25/2019,4.43,0.109,2.46,,187,264,,Fall,2019
11668,HWY 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,10/21/2019,4.09,0.113,2.77,0.41,77,486,33,Fall,2019
11669,PIMA,AZ Canal at Pima Rd.,srp,az canal @ pima,10/21/2019,3.99,0.112,2.81,0.365,43,,43,Fall,2019
11663,R11,CAP Canal at Cross-connect,cap,cap @ x con,10/21/2019,2.79,0.047,1.69,0.457,42,332,,Fall,2019
11666,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,10/21/2019,3.04,0.052,1.71,0.382,57,386,56,Fall,2019
11667,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,10/21/2019,3.43,0.081,2.36,0.352,375,354,61,Fall,2019
11671,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,10/21/2019,3.94,0.108,2.74,0.398,26,468,,Fall,2019
11670,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,10/21/2019,3.9,0.113,2.9,0.414,83,674,36,Fall,2019
11665,R25,verde river at beeline highway,verde,verde @ beeline,10/21/2019,,,,,,,,Fall,2019
11658,R3,Waddell Canal,cap,waddell canal,10/21/2019,2.88,0.05,1.73,0.387,243,213,,Fall,2019
11674,SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,10/21/2019,4.73,0.142,3,0.59,78,,46,Fall,2019
11618,HWY 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,9/24/2019,3.19,0.066,2.07,0.443,76,,18,Fall,2019
11619,PIMA,AZ Canal at Pima Rd.,srp,az canal @ pima,9/24/2019,4.55,0.136,2.99,1.427,32,,26,Fall,2019
11613,R11,CAP Canal at Cross-connect,cap,cap @ x con,9/24/2019,2.66,0.045,1.69,0.554,63,564,,Fall,2019
11616,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,9/24/2019,3.13,0.062,1.98,0.451,76,567,,Fall,2019
11617,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,9/24/2019,3.21,0.065,2.03,0.478,,621,21,Fall,2019
11621,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,9/24/2019,3.57,0.069,1.93,0.585,,45,,Fall,2019
11620,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,9/24/2019,3.45,0.066,1.91,0.415,42,768,11,Fall,2019
11584,R25,verde river at beeline highway,verde,verde @ beeline,9/24/2019,,,,,,,,Fall,2019
11608,R3,Waddell Canal,cap,waddell canal,9/24/2019,3.41,0.067,1.97,0.474,64,437,,Fall,2019
11624,SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,9/24/2019,3.44,0.082,2.39,0.66,243,700,12,Fall,2019
11568,HWY 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,8/19/2019,3.86,0.089,2.31,0.358,11,672,136,Summer,2019
11569,PIMA,AZ Canal at Pima Rd.,srp,az canal @ pima,8/19/2019,4.01,0.085,2.12,0.462,11,512,31,Summer,2019
11563,R11,CAP Canal at Cross-connect,cap,cap @ x con,8/19/2019,3.06,0.064,2.09,0.397,18,931,30,Summer,2019
11566,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,8/19/2019,3.16,0.106,3.36,0.433,28,762,41,Summer,2019
11567,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,8/19/2019,3.39,0.076,2.24,0.404,24,448,13,Summer,2019
11571,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,8/19/2019,3.94,0.117,2.97,0.456,10,582,15,Summer,2019
11570,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,8/19/2019,3.98,0.111,2.79,0.422,5,468,6,Summer,2019
11565,R25,verde river at beeline highway,verde,verde @ beeline,8/19/2019,2.26,0.054,2.39,,16,648,,Summer,2019
11558,R3,Waddell Canal,cap,waddell canal,8/19/2019,2.83,0.115,4.07,0.419,3,,4,Summer,2019
11574,SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,8/19/2019,4.17,0.14,3.36,0.466,16,546,13,Summer,2019
11518,HWY 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,7/22/2019,,,,,,,,Summer,2019
11519,PIMA,AZ Canal at Pima Rd.,srp,az canal @ pima,7/22/2019,4.33,0.076,1.75,0.449,12,348,19,Summer,2019
11513,R11,CAP Canal at Cross-connect,cap,cap @ x con,7/22/2019,,,,,,,,Summer,2019
11516,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,7/22/2019,,,,,,,,Summer,2019
11517,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,7/22/2019,,,,,,,,Summer,2019
