ID,Site Number,Site Location,Cluster Name,Site Acronym,Date,DOC,UVA,SUVA,TDN,E. coli,Coliform,Mycobacterium,Season,Year
10708,R3,Waddell Canal,cap,waddell canal,3/5/2018,2.49,0.045,1.81,4.542,0,664,0,Winter,2018
10724,SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,3/5/2018,2.65,0.065,2.45,-0.927,20,624,45,Winter,2018
10668,HWY 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,2/5/2018,3.2,0.074,2.31,,,,,Winter,2018
10669,PIMA,AZ Canal at Pima Rd.,srp,az canal @ pima,2/5/2018,3.03,0.078,2.57,,,,13,Winter,2018
10663,R11,CAP Canal at Cross-connect,cap,cap @ x con,2/5/2018,,,,,,,,Winter,2018
10666,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,2/5/2018,3.11,0.072,2.31,,140,488,,Winter,2018
10667,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,2/5/2018,3.07,0.081,2.64,,95,408,6,Winter,2018
10671,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,2/5/2018,3.33,0.069,2.07,,103,464,0,Winter,2018
10670,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,2/5/2018,1.15,0.027,2.35,,509,296,,Winter,2018
10634,R25,verde river at beeline highway,verde,verde @ beeline,2/5/2018,3.1,0.073,2.35,,46,41,5,Winter,2018
10658,R3,Waddell Canal,cap,waddell canal,2/5/2018,3.06,0.053,1.73,,0,640,1,Winter,2018
10674,SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,2/5/2018,2.85,0.077,2.7,,59,456,14,Winter,2018
10618,HWY 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,1/8/2018,,,,,,,,Winter,2018
10619,PIMA,AZ Canal at Pima Rd.,srp,az canal @ pima,1/8/2018,,,,,,,,Winter,2018
10613,R11,CAP Canal at Cross-connect,cap,cap @ x con,1/8/2018,,,,,,,,Winter,2018
10616,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,1/8/2018,,,,,,,,Winter,2018
10617,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,1/8/2018,,,,,,,,Winter,2018
10621,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,1/8/2018,,,,,,,,Winter,2018
10620,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,1/8/2018,,,,,,,,Winter,2018
10584,R25,verde river at beeline highway,verde,verde @ beeline,1/8/2018,3.05,0.083,2.73,0.395,13,456,82,Winter,2018
10608,R3,Waddell Canal,cap,waddell canal,1/8/2018,2.94,0.055,1.87,0.385,1,272,1,Winter,2018
10624,SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,1/8/2018,3.12,0.074,2.37,0.286,30,488,92,Winter,2018
10568,HWY 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,12/4/2017,2.82,0.063,2.24,0.276,56,1400,61,Fall,2017
10569,PIMA,AZ Canal at Pima Rd.,srp,az canal @ pima,12/4/2017,2.84,0.066,2.32,0.222,13,824,21,Fall,2017
10563,R11,CAP Canal at Cross-connect,cap,cap @ x con,12/4/2017,2.67,0.042,1.57,0.327,105,824,0,Fall,2017
10566,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,12/4/2017,2.68,0.041,1.53,0.339,73,760,23,Fall,2017
10567,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,12/4/2017,2.69,0.054,2.01,0.337,90,480,14,Fall,2017
10571,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,12/4/2017,2.67,0.065,2.43,0.223,39,568,9,Fall,2017
10570,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,12/4/2017,2.71,0.065,2.4,0.242,28,496,33,Fall,2017
10534,R25,verde river at beeline highway,verde,verde @ beeline,12/4/2017,2.85,0.071,2.49,0.343,57,824,259,Fall,2017
10558,R3,Waddell Canal,cap,waddell canal,12/4/2017,2.54,0.043,1.69,0.371,6,1200,13,Fall,2017
10574,SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,12/4/2017,,,,,,,,Fall,2017
10518,HWY 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,11/6/2017,3.57,0.092,2.57,0.5,142,1272,136,Fall,2017
10519,PIMA,AZ Canal at Pima Rd.,srp,az canal @ pima,11/6/2017,3.35,0.092,2.75,0.561,95,976,130,Fall,2017
10513,R11,CAP Canal at Cross-connect,cap,cap @ x con,11/6/2017,2.64,0.046,1.74,0.434,5,1120,46,Fall,2017
10516,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,11/6/2017,2.64,0.048,1.82,0.388,20,1736,2,Fall,2017
10517,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,11/6/2017,3,0.072,2.4,0.442,108,904,,Fall,2017
10521,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,11/6/2017,3.23,0.091,2.82,0.596,43,1200,107,Fall,2017
10520,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,11/6/2017,3.52,0.091,2.58,0.549,34,1104,0,Fall,2017
10484,R25,verde river at beeline highway,verde,verde @ beeline,11/6/2017,3.65,0.102,2.79,0.536,88,1088,0,Fall,2017
10508,R3,Waddell Canal,cap,waddell canal,11/6/2017,2.48,0.042,1.69,0.484,5,1480,87,Fall,2017
10524,SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,11/6/2017,3.86,0.106,2.75,0.533,195,896,41,Fall,2017
10468,HWY 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,10/2/2017,3.81,0.073,1.92,0.364,25,1384,0,Fall,2017
10469,PIMA,AZ Canal at Pima Rd.,srp,az canal @ pima,10/2/2017,3.19,0.073,2.29,0.28,14,1552,0,Fall,2017
10463,R11,CAP Canal at Cross-connect,cap,cap @ x con,10/2/2017,3.05,0.046,1.51,0.37,13,912,0,Fall,2017
10466,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,10/2/2017,2.42,0.045,1.86,0.361,4,912,0,Fall,2017
10467,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,10/2/2017,3.14,0.061,1.94,0.373,33,888,2,Fall,2017
