ID,Site Number,Site Location,Cluster Name,Site Acronym,Date,Month,Sample type,TOC,DOC,UVA,SUVA,PI,WL PI,Int @ 450,Int @ 460,Int @ 500,FI 45/50,Comments
4755,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,5/7/2007,5/7/2007,,,3.21,0.043,1.35,,,,,,,
4756,R9A,Saguaro Lake near inlet,salt,saguaro-epi,5/7/2007,5/7/2007,,,5.8,0.092,1.59,,,,,,,
4757,R9A-Dup,Saguaro Lake near inlet,,saguaro-epi dup,5/7/2007,5/7/2007,,,5.86,0.093,1.59,,,,,,,
4758,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,5/7/2007,5/7/2007,,,6.78,0.097,1.43,,,,,,,
4759,R20,Verde River at Tangle,verde,verde abv horseshoe,5/7/2007,5/7/2007,,,1.93,0.024,1.26,,,,,,,
4760,Havasu 1,Havasu lake Sample,,Havasu 1,5/7/2007,5/7/2007,,,2.88,0.033,1.14,,,,,,,
4761,Havasu 2,Havasu lake Sample,,Havasu 2,5/7/2007,5/7/2007,,,,,,,,,,,,
4762,Roosvelt,SRP above Roosevelt Lake,,Above Roosevelt,5/7/2007,5/7/2007,,,,,,,,,,,,
4763,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,5/7/2007,5/7/2007,,,4.06,0.073,1.79,,,,,,,
4764,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,5/7/2007,5/7/2007,,,4.36,0.072,1.66,,,,,,,
4765,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,5/7/2007,5/7/2007,,,4.17,0.068,1.64,,,,,,,
4766,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,5/7/2007,5/7/2007,,,4.73,0.074,1.56,,,,,,,
4767,R1,CAP canal above Waddell Canal,cap,cap-siphon,5/7/2007,5/7/2007,,,,,,,,,,,,
4768,R4,Cap Canal at 7th St.,cap,cap @ 7th st,5/7/2007,5/7/2007,,,,,,,,,,,,
4769,R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,5/7/2007,5/7/2007,,,,,,,,,,,,
4770,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,5/7/2007,5/7/2007,,,,,,,,,,,,
4771,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,5/7/2007,5/7/2007,,,,,,,,,,,,
4772,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,5/7/2007,5/7/2007,,,,,,,,,,,,
4773,Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,5/7/2007,5/7/2007,,,,,,,,,,,,
4774,Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,5/7/2007,5/7/2007,,,,,,,,,,,,
4775,R3,Waddell Canal,cap,waddell canal,6/4/2007,6/4/2007,,,2.98,0.045,1.51,,,,,,,
4776,UH In,Union Hills Inlet,cap,Union Hills Inlet,6/4/2007,6/4/2007,,,2.88,0.042,1.44,,,,,,,
4777,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,6/4/2007,6/4/2007,,,2.4,0.02,0.84,,,,,,,
4778,R11,CAP Canal at Cross-connect,cap,cap @ x con,6/4/2007,6/4/2007,,,2.94,0.043,1.47,,,,,,,
4779,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,6/4/2007,6/4/2007,,,4.4,0.092,2.1,,,,,,,
4780,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,6/4/2007,6/4/2007,,,4.22,0.091,2.17,,,,,,,
4781,R19,Val Vista WTP treated water,srp,val vista-treated,6/4/2007,6/4/2007,,,2.54,0.035,1.39,,,,,,,
4782,VV West,Val Vista West WTP treated water,srp,val vista west-treated,6/4/2007,6/4/2007,,,2.79,0.039,1.41,,,,,,,
4783,HTC,Head of the Tempe Canal,tempe,head of tempe canal,6/4/2007,6/4/2007,,,3.64,0.074,2.02,,,,,,,
4784,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,6/4/2007,6/4/2007,,,1.39,0.025,1.76,,,,,,,
4785,SPT Out,Tempe's South Plant treated water,tempe,STP Out,6/4/2007,6/4/2007,,,1.29,0.02,1.57,,,,,,,
4786,R25,verde river at beeline highway,verde,verde @ beeline,6/4/2007,6/4/2007,,,2.04,0.06,2.95,,,,,,,
4787,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,6/4/2007,6/4/2007,,,4.83,0.098,1.51,,,,,,,
4788,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,6/4/2007,6/4/2007,,,4.52,0.094,2.08,,,,,,,
4789,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,6/4/2007,6/4/2007,,,3.99,0.075,1.88,,,,,,,
4790,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,6/4/2007,6/4/2007,,,4.39,0.087,2,,,,,,,
4791,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,6/4/2007,6/4/2007,,,2.84,0.041,1.4,,,,,,,
4792,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,6/4/2007,6/4/2007,,,4.29,0.086,2,,,,,,,
4793,R17,Deer Valley WTP treated water,srp,deer valley-treated,6/4/2007,6/4/2007,,,3.03,0.046,1.5,,,,,,,
4794,Green In,Greenway WTP Inlet,srp,Green In,6/4/2007,6/4/2007,,,3.54,0.074,2.1,,,,,,,
4795,Green Out,Greenway WTP Outlet,srp,Green Out,6/4/2007,6/4/2007,,,2.35,0.023,1,,,,,,,
4796,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,6/4/2007,6/4/2007,,,4.13,0.086,2.08,,,,,,,
4797,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,6/4/2007,6/4/2007,,,3.51,0.06,1.71,,,,,,,
4798,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,6/4/2007,6/4/2007,,,3.62,0.045,1.25,,,,,,,
4799,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,6/4/2007,6/4/2007,,,3.67,0.045,1.22,,,,,,,
4800,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,6/4/2007,6/4/2007,,,2.14,0.036,1.67,,,,,,,
4801,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,6/4/2007,6/4/2007,,,1.82,0.042,2.3,,,,,,,
4802,R9A,Saguaro Lake near inlet,salt,saguaro-epi,6/4/2007,6/4/2007,,,5.15,0.095,1.85,,,,,,,
4803,R9A-Dup,Saguaro Lake near inlet,,saguaro-epi dup,6/4/2007,6/4/2007,,,5.2,0.094,1.8,,,,,,,
4804,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,6/4/2007,6/4/2007,,,5.27,0.098,1.87,,,,,,,
4805,R20,Verde River at Tangle,verde,verde abv horseshoe,6/4/2007,6/4/2007,,,0.99,0.046,4.68,,,,,,,
4806,Havasu 1,Havasu lake Sample,,Havasu 1,6/4/2007,6/4/2007,,,2.73,0.043,1.57,,,,,,,
4807,Havasu 2,Havasu lake Sample,,Havasu 2,6/4/2007,6/4/2007,,,,,,,,,,,,
4808,Roosvelt,SRP above Roosevelt Lake,,Above Roosevelt,6/4/2007,6/4/2007,,,,,,,,,,,,
4809,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,6/4/2007,6/4/2007,,,4.26,0.085,1.98,,,,,,,
4810,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,6/4/2007,6/4/2007,,,4.27,0.088,2.06,,,,,,,
4811,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,6/4/2007,6/4/2007,,,4.14,0.081,1.96,,,,,,,
4812,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,6/4/2007,6/4/2007,,,4.24,0.084,1.97,,,,,,,
4813,R1,CAP canal above Waddell Canal,cap,cap-siphon,6/4/2007,6/4/2007,,,,,,,,,,,,
4814,R4,Cap Canal at 7th St.,cap,cap @ 7th st,6/4/2007,6/4/2007,,,,,,,,,,,,
4815,R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,6/4/2007,6/4/2007,,,,,,,,,,,,
4816,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,6/4/2007,6/4/2007,,,,,,,,,,,,
4817,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,6/4/2007,6/4/2007,,,,,,,,,,,,
4818,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,6/4/2007,6/4/2007,,,,,,,,,,,,
4819,Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,6/4/2007,6/4/2007,,,,,,,,,,,,
4820,Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,6/4/2007,6/4/2007,,,,,,,,,,,,
4821,R3,Waddell Canal,cap,waddell canal,7/9/2007,7/9/2007,,,3.32,0.047,1.28,,,,,,,
4822,UH In,Union Hills Inlet,cap,Union Hills Inlet,7/9/2007,7/9/2007,,,3.24,0.045,1.28,,,,,,,
4823,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,7/9/2007,7/9/2007,,,2.6,0.026,0.87,,,,,,,
4824,R11,CAP Canal at Cross-connect,cap,cap @ x con,7/9/2007,7/9/2007,,,2.99,0.044,1.22,,,,,,,
4825,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,7/9/2007,7/9/2007,,,4.65,0.098,1.82,,,,,,,
4826,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,7/9/2007,7/9/2007,,,4.52,0.094,1.8,,,,,,,
4827,R19,Val Vista WTP treated water,srp,val vista-treated,7/9/2007,7/9/2007,,,3.08,0.044,1.22,,,,,,,
4828,VV West,Val Vista West WTP treated water,srp,val vista west-treated,7/9/2007,7/9/2007,,,3.34,0.054,1.44,,,,,,,
4829,HTC,Head of the Tempe Canal,tempe,head of tempe canal,7/9/2007,7/9/2007,,,4.55,0.093,1.78,,,,,,,
4830,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,7/9/2007,7/9/2007,,,5.37,0.087,1.62,,,,,,,
4831,SPT Out,Tempe's South Plant treated water,tempe,STP Out,7/9/2007,7/9/2007,,,3.72,0.076,2.05,,,,,,,
4832,R25,verde river at beeline highway,verde,verde @ beeline,7/9/2007,7/9/2007,,,1.68,0.098,4.08,,,,,,,
4833,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,7/9/2007,7/9/2007,,,4.74,0.098,1.79,,,,,,,
4834,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,7/9/2007,7/9/2007,,,,,,,,,,,,
4835,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,7/9/2007,7/9/2007,,,4.33,0.087,1.76,,,,,,,
4836,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,7/9/2007,7/9/2007,,,4.8,0.102,1.9,,,,,,,
4837,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,7/9/2007,7/9/2007,,,3.14,0.048,1.3,,,,,,,
4838,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,7/9/2007,7/9/2007,,,4.61,0.098,1.3,,,,,,,
4839,R17,Deer Valley WTP treated water,srp,deer valley-treated,7/9/2007,7/9/2007,,,3.27,0.05,1.3,,,,,,,
4840,Green In,Greenway WTP Inlet,srp,Green In,7/9/2007,7/9/2007,,,4.01,0.084,1.8,,,,,,,
4841,Green Out,Greenway WTP Outlet,srp,Green Out,7/9/2007,7/9/2007,,,2.29,0.028,1.2,,,,,,,
4842,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,7/9/2007,7/9/2007,,,4.65,0.101,1.84,,,,,,,
4843,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,7/9/2007,7/9/2007,,,3.91,0.072,1.58,,,,,,,
4844,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,7/9/2007,7/9/2007,,,4.13,0.049,1.01,,,,,,,
4845,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,7/9/2007,7/9/2007,,,3.63,0.053,1.15,,,,,,,
4846,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,7/9/2007,7/9/2007,,,2.97,0.043,1.27,,,,,,,
4847,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,7/9/2007,7/9/2007,,,2.24,0.042,1.3,,,,,,,
4848,R9A,Saguaro Lake near inlet,salt,saguaro-epi,7/9/2007,7/9/2007,,,6.42,0.094,1.31,,,,,,,
4849,R9A-Dup,Saguaro Lake near inlet,,saguaro-epi dup,7/9/2007,7/9/2007,,,5.95,0.093,1.27,,,,,,,
4850,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,7/9/2007,7/9/2007,,,5.16,0.094,1.35,,,,,,,
4851,R20,Verde River at Tangle,verde,verde abv horseshoe,7/9/2007,7/9/2007,,,1.16,0.033,2.54,,,,,,,
4852,Havasu 1,Havasu lake Sample,,Havasu 1,7/9/2007,7/9/2007,,,3.05,0.048,1.08,,,,,,,
4853,Havasu 2,Havasu lake Sample,,Havasu 2,7/9/2007,7/9/2007,,,,,,,,,,,,
4854,Roosvelt,SRP above Roosevelt Lake,,Above Roosevelt,7/9/2007,7/9/2007,,,,,,,,,,,,
4855,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,7/9/2007,7/9/2007,,,4.64,0.099,1.87,,,,,,,
4856,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,7/9/2007,7/9/2007,,,4.72,0.1,1.85,,,,,,,
4857,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,7/9/2007,7/9/2007,,,4.66,0.098,1.79,,,,,,,
4858,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,7/9/2007,7/9/2007,,,5.09,0.099,1.65,,,,,,,
4859,R1,CAP canal above Waddell Canal,cap,cap-siphon,7/9/2007,7/9/2007,,,,,,,,,,,,
4860,R4,Cap Canal at 7th St.,cap,cap @ 7th st,7/9/2007,7/9/2007,,,,,,,,,,,,
4861,R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,7/9/2007,7/9/2007,,,,,,,,,,,,
4862,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,7/9/2007,7/9/2007,,,,,,,,,,,,
4863,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,7/9/2007,7/9/2007,,,,,,,,,,,,
4864,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,7/9/2007,7/9/2007,,,,,,,,,,,,
4865,Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,7/9/2007,7/9/2007,,,,,,,,,,,,
4866,Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,7/9/2007,7/9/2007,,,,,,,,,,,,
4867,R3,Waddell Canal,cap,waddell canal,8/6/2007,8/6/2007,,,2.99,0.045,1.5,,,,,,,
4868,UH In,Union Hills Inlet,cap,Union Hills Inlet,8/6/2007,8/6/2007,,,2.98,0.045,1.52,,,,,,,
4869,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,8/6/2007,8/6/2007,,,2.37,0.023,0.96,,,,,,,
4870,R11,CAP Canal at Cross-connect,cap,cap @ x con,8/6/2007,8/6/2007,,,2.92,0.045,1.53,,,,,,,
4871,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,8/6/2007,8/6/2007,,,4.17,0.1,2.4,,,,,,,
4872,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,8/6/2007,8/6/2007,,,4.08,0.095,2.32,,,,,,,
4873,R19,Val Vista WTP treated water,srp,val vista-treated,8/6/2007,8/6/2007,,,2.84,0.042,1.47,,,,,,,
4874,VV West,Val Vista West WTP treated water,srp,val vista west-treated,8/6/2007,8/6/2007,,,2.81,0.037,1.33,,,,,,,
4875,HTC,Head of the Tempe Canal,tempe,head of tempe canal,8/6/2007,8/6/2007,,,4.13,0.102,2.46,,,,,,,
4876,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,8/6/2007,8/6/2007,,,3.85,0.094,2.43,,,,,,,
4877,SPT Out,Tempe's South Plant treated water,tempe,STP Out,8/6/2007,8/6/2007,,,3.24,0.06,1.86,,,,,,,
4878,R25,verde river at beeline highway,verde,verde @ beeline,8/6/2007,8/6/2007,,,2.23,0.072,3.22,,,,,,,
4879,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,8/6/2007,8/6/2007,,,4.49,0.098,2.18,,,,,,,
4880,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,8/6/2007,8/6/2007,,,4.28,0.111,2.48,,,,,,,
4881,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,8/6/2007,8/6/2007,,,4.11,0.098,2.29,,,,,,,
4882,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,8/6/2007,8/6/2007,,,4.33,0.101,2.3,,,,,,,
4883,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,8/6/2007,8/6/2007,,,2.91,0.043,1.5,,,,,,,
4884,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,8/6/2007,8/6/2007,,,4.23,0.104,2.5,,,,,,,
4885,R17,Deer Valley WTP treated water,srp,deer valley-treated,8/6/2007,8/6/2007,,,2.97,0.043,1.5,,,,,,,
4886,Green In,Greenway WTP Inlet,srp,Green In,8/6/2007,8/6/2007,,,4.09,0.095,2.3,,,,,,,
4887,Green Out,Greenway WTP Outlet,srp,Green Out,8/6/2007,8/6/2007,,,2.66,0.022,0.8,,,,,,,
4888,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,8/6/2007,8/6/2007,,,4.47,0.101,2.27,,,,,,,
4889,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,8/6/2007,8/6/2007,,,3.51,0.056,1.6,,,,,,,
4890,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,8/6/2007,8/6/2007,,,3.83,0.039,1.02,,,,,,,
4891,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,8/6/2007,8/6/2007,,,3.36,0.045,1.24,,,,,,,
4892,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,8/6/2007,8/6/2007,,,2.74,0.049,1.8,,,,,,,
4893,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,8/6/2007,8/6/2007,,,1.8,0.039,2.15,,,,,,,
4894,R9A,Saguaro Lake near inlet,salt,saguaro-epi,8/6/2007,8/6/2007,,,5.1,0.09,1.77,,,,,,,
4895,R9A-Dup,Saguaro Lake near inlet,,saguaro-epi dup,8/6/2007,8/6/2007,,,5.81,0.093,1.6,,,,,,,
4896,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,8/6/2007,8/6/2007,,,4.56,0.092,2.01,,,,,,,
4897,R20,Verde River at Tangle,verde,verde abv horseshoe,8/6/2007,8/6/2007,,,3.21,0.116,3.61,,,,,,,
4898,Havasu 1,Havasu lake Sample,,Havasu 1,8/6/2007,8/6/2007,,,,,,,,,,,,
4899,Havasu 2,Havasu lake Sample,,Havasu 2,8/6/2007,8/6/2007,,,,,,,,,,,,
4900,Roosvelt,SRP above Roosevelt Lake,,Above Roosevelt,8/6/2007,8/6/2007,,,,,,,,,,,,
4901,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,8/6/2007,8/6/2007,,,4.39,0.099,2.26,,,,,,,
4902,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,8/6/2007,8/6/2007,,,4.54,0.097,2.14,,,,,,,
4903,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,8/6/2007,8/6/2007,,,4.41,0.094,2.12,,,,,,,
4904,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,8/6/2007,8/6/2007,,,4.39,0.094,2.14,,,,,,,
4905,R1,CAP canal above Waddell Canal,cap,cap-siphon,8/6/2007,8/6/2007,,,,,,,,,,,,
4906,R4,Cap Canal at 7th St.,cap,cap @ 7th st,8/6/2007,8/6/2007,,,,,,,,,,,,
4907,R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,8/6/2007,8/6/2007,,,,,,,,,,,,
4908,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,8/6/2007,8/6/2007,,,,,,,,,,,,
4909,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,8/6/2007,8/6/2007,,,,,,,,,,,,
4910,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,8/6/2007,8/6/2007,,,,,,,,,,,,
4911,Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,8/6/2007,8/6/2007,,,,,,,,,,,,
4912,Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,8/6/2007,8/6/2007,,,,,,,,,,,,
4913,R3,Waddell Canal,cap,waddell canal,9/10/2007,9/10/2007,,,3.34,0.05,1.5,,,,,,,
4914,UH In,Union Hills Inlet,cap,Union Hills Inlet,9/10/2007,9/10/2007,,,3.02,0.048,1.59,,,,,,,
4915,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,9/10/2007,9/10/2007,,,2.69,0.022,0.82,,,,,,,
4916,R11,CAP Canal at Cross-connect,cap,cap @ x con,9/10/2007,9/10/2007,,,3.12,0.043,1.38,,,,,,,
4917,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,9/10/2007,9/10/2007,,,4.31,0.089,2.06,,,,,,,
4918,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,9/10/2007,9/10/2007,,,4.37,0.086,1.97,,,,,,,
4919,R19,Val Vista WTP treated water,srp,val vista-treated,9/10/2007,9/10/2007,,,2.81,0.032,1.14,,,,,,,
4920,VV West,Val Vista West WTP treated water,srp,val vista west-treated,9/10/2007,9/10/2007,,,2.81,0.03,1.07,,,,,,,
4921,HTC,Head of the Tempe Canal,tempe,head of tempe canal,9/10/2007,9/10/2007,,,4.34,0.087,2,,,,,,,
4922,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,9/10/2007,9/10/2007,,,4.1,0.099,2.41,,,,,,,
4923,SPT Out,Tempe's South Plant treated water,tempe,STP Out,9/10/2007,9/10/2007,,,3.55,0.059,1.66,,,,,,,
4924,R25,verde river at beeline highway,verde,verde @ beeline,9/10/2007,9/10/2007,,,2.16,0.061,2.81,,,,,,,
4925,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,9/10/2007,9/10/2007,,,4.68,0.094,2.01,,,,,,,
4926,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,9/10/2007,9/10/2007,,,,,,,,,,,,
4927,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,9/10/2007,9/10/2007,,,3.92,0.069,1.76,,,,,,,
4928,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,9/10/2007,9/10/2007,,,4.21,0.076,1.8,,,,,,,
4929,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,9/10/2007,9/10/2007,,,3.03,0.044,1.5,,,,,,,
4930,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,9/10/2007,9/10/2007,,,3.85,0.073,1.9,,,,,,,
4931,R17,Deer Valley WTP treated water,srp,deer valley-treated,9/10/2007,9/10/2007,,,2.89,0.036,1.2,,,,,,,
4932,Green In,Greenway WTP Inlet,srp,Green In,9/10/2007,9/10/2007,,,,,,,,,,,,
4933,Green Out,Greenway WTP Outlet,srp,Green Out,9/10/2007,9/10/2007,,,,,,,,,,,,
4934,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,9/10/2007,9/10/2007,,,4.16,0.077,1.85,,,,,,,
4935,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,9/10/2007,9/10/2007,,,3.47,0.052,1.5,,,,,,,
4936,Glen In,Glendale WTP Inlet,,Glen In,9/10/2007,9/10/2007,,,4.09,0.081,2,,,,,,,
4937,Glen Out,Glendale WTP Outlet,,Glen Out,9/10/2007,9/10/2007,,,2.98,0.034,1.1,,,,,,,
4938,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,9/10/2007,9/10/2007,,,3.55,0.041,1.15,,,,,,,
4939,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,9/10/2007,9/10/2007,,,3.11,0.044,1.41,,,,,,,
4940,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,9/10/2007,9/10/2007,,,3.26,0.075,2.3,,,,,,,
4941,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,9/10/2007,9/10/2007,,,2.16,0.051,2.36,,,,,,,
4942,R9A,Saguaro Lake near inlet,salt,saguaro-epi,9/10/2007,9/10/2007,,,5.38,0.096,1.78,,,,,,,
4943,R9A-Dup,Saguaro Lake near inlet,,saguaro-epi dup,9/10/2007,9/10/2007,,,4.94,0.094,1.9,,,,,,,
4944,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,9/10/2007,9/10/2007,,,4.87,0.093,1.91,,,,,,,
4945,R20,Verde River at Tangle,verde,verde abv horseshoe,9/10/2007,9/10/2007,,,1.93,0.058,3.01,,,,,,,
4946,Havasu 1,Havasu lake Sample,,Havasu 1,9/10/2007,9/10/2007,,,2.94,0.038,1.29,,,,,,,
4947,Havasu 2,Havasu lake Sample,,Havasu 2,9/10/2007,9/10/2007,,,,,,,,,,,,
4948,Roosvelt,SRP above Roosevelt Lake,,Above Roosevelt,9/10/2007,9/10/2007,,,,,,,,,,,,
4949,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,9/10/2007,9/10/2007,,,4.1,0.079,1.93,,,,,,,
4950,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,9/10/2007,9/10/2007,,,4.05,0.086,2.12,,,,,,,
4951,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,9/10/2007,9/10/2007,,,4.08,0.074,1.81,,,,,,,
4952,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,9/10/2007,9/10/2007,,,4.02,0.075,1.87,,,,,,,
4953,R1,CAP canal above Waddell Canal,cap,cap-siphon,9/10/2007,9/10/2007,,,,,,,,,,,,
4954,R4,Cap Canal at 7th St.,cap,cap @ 7th st,9/10/2007,9/10/2007,,,,,,,,,,,,
4955,R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,9/10/2007,9/10/2007,,,,,,,,,,,,
4956,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,9/10/2007,9/10/2007,,,,,,,,,,,,
4957,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,9/10/2007,9/10/2007,,,,,,,,,,,,
4958,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,9/10/2007,9/10/2007,,,,,,,,,,,,
4959,Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,9/10/2007,9/10/2007,,,,,,,,,,,,
4960,Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,9/10/2007,9/10/2007,,,,,,,,,,,,
4961,R3,Waddell Canal,cap,waddell canal,10/8/2007,10/8/2007,,,2.85,0.041,1.4,,,,,,,
4962,UH In,Union Hills Inlet,cap,Union Hills Inlet,10/8/2007,10/8/2007,,,2.69,0.041,1.52,,,,,,,
4963,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,10/8/2007,10/8/2007,,,2.18,0.02,0.92,,,,,,,
4964,R11,CAP Canal at Cross-connect,cap,cap @ x con,10/8/2007,10/8/2007,,,2.74,0.04,1.46,,,,,,,
4965,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,10/8/2007,10/8/2007,,,4.02,0.092,2.29,,,,,,,
